commodity,variety,source_district,destination_district,buying_price,selling_price,distance_km,transport_cost,gross_margin,expected_margin,route_rank
Apples,American,Madurai,Thiruchirappalli,20000.00,30000.00,146.21,804.16,10000.00,9195.85,45
Apples,American,Muktsar,Thiruchirappalli,5500.00,30000.00,2785.19,15318.55,24500.00,9181.46,46
Apples,American,Hardoi,Thiruchirappalli,8110.00,30000.00,2312.19,12717.05,21890.00,9172.96,47
Apples,American,Anantnag,Thiruchirappalli,3235.29,30000.00,3217.46,17696.03,26764.71,9068.68,48
Apples,American,Malappuram,Perambalur,9850.00,21000.00,382.76,2105.18,11150.00,9044.82,49
Apples,American,Gurgaon,Thiruchirappalli,7500.00,30000.00,2462.74,13545.07,22500.00,8954.93,50
Apples,Apple,Sepahijala,"Lower Subansiri",2600.00,30000.00,628.44,3456.42,27400.00,23943.58,1
Apples,Apple,Sitamarhi,"Lower Subansiri",5000.00,30000.00,1032.38,5678.09,25000.00,19321.91,2
Apples,Apple,Gopalgang,"Lower Subansiri",4500.00,30000.00,1166.14,6413.77,25500.00,19086.23,3
Apples,Apple,Bhojpur,"Lower Subansiri",5000.00,30000.00,1185.01,6517.56,25000.00,18482.45,4
Apples,Apple,Bhagalpur,"Lower Subansiri",6600.00,30000.00,906.90,4987.95,23400.00,18412.05,5
Apples,Apple,Barpeta,"Lower Subansiri",9500.00,30000.00,385.80,2121.90,20500.00,18378.10,6
Apples,Apple,Satna,"Lower Subansiri",2800.00,30000.00,1671.73,9194.52,27200.00,18005.49,7
Apples,Apple,Chhatarpur,"Lower Subansiri",2215.00,30000.00,1804.74,9926.07,27785.00,17858.93,8
Apples,Apple,Sepahijala,"South District",2600.00,20500.00,72.15,396.83,17900.00,17503.18,9
Apples,Apple,Morena,"Lower Subansiri",2000.00,30000.00,1959.39,10776.65,28000.00,17223.36,10
Apples,Apple,Maharajganj,"Lower Subansiri",6425.00,30000.00,1166.94,6418.17,23575.00,17156.83,11
Apples,Apple,Rewa,"Lower Subansiri",4000.00,30000.00,1613.51,8874.31,26000.00,17125.70,12
Apples,Apple,Deoria,"Lower Subansiri",6060.00,30000.00,1246.50,6855.75,23940.00,17084.25,13
Apples,Apple,"Garhwal (Pauri)","Lower Subansiri",2800.00,30000.00,1862.19,10242.05,27200.00,16957.96,14
Apples,Apple,Gorakhpur,"Lower Subansiri",6000.00,30000.00,1290.74,7099.07,24000.00,16900.93,15
Apples,Apple,Mewat,"Lower Subansiri",2000.00,30000.00,2056.71,11311.91,28000.00,16688.10,16
Apples,Apple,"Sant Kabir Nagar","Lower Subansiri",6250.00,30000.00,1334.36,7338.98,23750.00,16411.02,17
Apples,Apple,Bahraich,"Lower Subansiri",5500.00,30000.00,1500.10,8250.55,24500.00,16249.45,18
Apples,Apple,Ghazipur,"Lower Subansiri",7000.00,30000.00,1295.88,7127.34,23000.00,15872.66,19
Apples,Apple,Varanasi,"Lower Subansiri",6750.00,30000.00,1376.39,7570.15,23250.00,15679.86,20
Apples,Apple,Panipat,"Lower Subansiri",3000.00,30000.00,2067.69,11372.30,27000.00,15627.71,21
Apples,Apple,Mau(Maunathbhanjan),"Lower Subansiri",7300.00,30000.00,1287.91,7083.51,22700.00,15616.50,22
Apples,Apple,Jaunpur,"Lower Subansiri",6730.00,30000.00,1401.10,7706.05,23270.00,15563.95,23
Apples,Apple,Sonbhadra,"Lower Subansiri",6862.50,30000.00,1408.01,7744.06,23137.50,15393.45,24
Apples,Apple,Mahendragarh-Narnaul,"Lower Subansiri",6000.00,30000.00,1575.03,8662.67,24000.00,15337.34,25
Apples,Apple,Ballia,"Lower Subansiri",7950.00,30000.00,1221.73,6719.52,22050.00,15330.49,26
Apples,Apple,Mirzapur,"Lower Subansiri",6775.00,30000.00,1435.96,7897.78,23225.00,15327.22,27
Apples,Apple,Gwalior,"Lower Subansiri",4000.00,30000.00,1941.51,10678.31,26000.00,15321.70,28
Apples,Apple,Amethi,"Lower Subansiri",6820.00,30000.00,1496.35,8229.93,23180.00,14950.08,29
Apples,Apple,Banda,"Lower Subansiri",5720.00,30000.00,1696.64,9331.52,24280.00,14948.48,30
Apples,Apple,Barabanki,"Lower Subansiri",6750.00,30000.00,1532.79,8430.35,23250.00,14819.66,31
Apples,Apple,Nanital,"Lower Subansiri",5500.00,30000.00,1768.04,9724.22,24500.00,14775.78,32
Apples,Apple,Bulandshahar,"Lower Subansiri",4500.00,30000.00,1957.41,10765.76,25500.00,14734.25,33
Apples,Apple,Kolkata,"Lower Subansiri",10000.00,30000.00,971.84,5345.12,20000.00,14654.88,34
Apples,Apple,Buxar,"Lower Subansiri",8500.00,30000.00,1250.15,6875.83,21500.00,14624.18,35
Apples,Apple,Muzaffarnagar,"Lower Subansiri",4500.00,30000.00,1978.91,10884.01,25500.00,14616.00,36
Apples,Apple,"Jalaun (Orai)","Lower Subansiri",5500.00,30000.00,1801.73,9909.52,24500.00,14590.49,37
Apples,Apple,Anantnag,"Lower Subansiri",2360.00,30000.00,2382.71,13104.91,27640.00,14535.10,38
Apples,Apple,Saharanpur,"Lower Subansiri",4500.00,30000.00,2003.88,11021.34,25500.00,14478.66,39
Apples,Apple,Dhemaji,"Lower Subansiri",15000.00,30000.00,96.79,532.35,15000.00,14467.66,40
Apples,Apple,Udhamsinghnagar,"Lower Subansiri",5850.00,30000.00,1760.99,9685.45,24150.00,14464.56,41
Apples,Apple,Kanpur,"Lower Subansiri",6500.00,30000.00,1672.96,9201.28,23500.00,14298.72,42
Apples,Apple,Seoni,"Lower Subansiri",5000.00,30000.00,1947.70,10712.35,25000.00,14287.65,43
Apples,Apple,Raebarelli,"Lower Subansiri",7000.00,30000.00,1590.90,8749.95,23000.00,14250.05,44
Apples,Apple,Shahjahanpur,"Lower Subansiri",6445.00,30000.00,1705.11,9378.11,23555.00,14176.90,45
Apples,Apple,Haridwar,"Lower Subansiri",5525.00,30000.00,1930.51,10617.81,24475.00,13857.20,46
Apples,Apple,Bareilly,"Lower Subansiri",6450.00,30000.00,1765.43,9709.87,23550.00,13840.14,47
Apples,Apple,Kamrup,"Lower Subansiri",14250.00,30000.00,357.41,1965.76,15750.00,13784.25,48
Apples,Apple,Dehradoon,"Lower Subansiri",5500.00,30000.00,1952.08,10736.44,24500.00,13763.56,49
Apples,Apple,"North Tripura","Lower Subansiri",13500.00,30000.00,519.46,2857.03,16500.00,13642.97,50
Apples,Condition,Anantnag,Udhampur,2350.00,5750.00,112.61,619.36,3400.00,2780.65,1
Apples,Condition,Pulwama,Udhampur,2812.50,5750.00,134.71,740.91,2937.50,2196.60,2
Apples,Condition,Jammu,Udhampur,3500.00,5750.00,42.29,232.60,2250.00,2017.41,3
Apples,Condition,Anantnag,Ludhiana,2350.00,6500.00,400.49,2202.70,4150.00,1947.31,4
Apples,Condition,Srinagar,Udhampur,3000.00,5750.00,165.71,911.41,2750.00,1838.60,5
Apples,Condition,Jammu,Ludhiana,3500.00,6500.00,273.91,1506.51,3000.00,1493.50,6
Apples,Condition,Baramulla,Udhampur,3250.00,5750.00,197.25,1084.88,2500.00,1415.13,7
Apples,Condition,Pulwama,Ludhiana,2812.50,6500.00,426.25,2344.38,3687.50,1343.13,8
Apples,Condition,Srinagar,Ludhiana,3000.00,6500.00,457.48,2516.14,3500.00,983.86,9
Apples,Condition,Baramulla,Ludhiana,3250.00,6500.00,487.74,2682.57,3250.00,567.43,10
Apples,Condition,Anantnag,Jammu,2350.00,3500.00,146.56,806.08,1150.00,343.92,11
Apples,Condition,Anantnag,Srinagar,2350.00,3000.00,63.23,347.77,650.00,302.24,12
Apples,Condition,Anantnag,Baramulla,2350.00,3250.00,110.34,606.87,900.00,293.13,13
Apples,Condition,Anantnag,Pulwama,2350.00,2812.50,34.83,191.57,462.50,270.94,14
Apples,Condition,Pulwama,Baramulla,2812.50,3250.00,75.54,415.47,437.50,22.03,15
Apples,Condition,Pulwama,Srinagar,2812.50,3000.00,31.39,172.65,187.50,14.86,16
Apples,Delicious,Amroha,Patiala,3520.00,20000.00,323.04,1776.72,16480.00,14703.28,1
Apples,Delicious,Shamli,Patiala,4850.00,20000.00,167.95,923.73,15150.00,14226.28,2
Apples,Delicious,Anantnag,Patiala,3300.00,20000.00,493.31,2713.21,16700.00,13986.80,3
Apples,Delicious,Udhamsinghnagar,Patiala,4200.00,20000.00,414.54,2279.97,15800.00,13520.03,4
Apples,Delicious,Dehradoon,Patiala,5500.00,20000.00,196.76,1082.18,14500.00,13417.82,5
Apples,Delicious,Faridkot,Patiala,5500.00,20000.00,199.05,1094.78,14500.00,13405.23,6
Apples,Delicious,Kulgam,Patiala,3920.00,20000.00,487.58,2681.69,16080.00,13398.31,7
Apples,Delicious,Pulwama,Patiala,3750.00,20000.00,521.05,2865.78,16250.00,13384.23,8
Apples,Delicious,Badgam,Patiala,3906.25,20000.00,549.65,3023.08,16093.75,13070.68,9
Apples,Delicious,Budgam,Patiala,3928.13,20000.00,550.08,3025.44,16071.88,13046.44,10
Apples,Delicious,Srinagar,Patiala,4375.00,20000.00,552.43,3038.37,15625.00,12586.64,11
Apples,Delicious,Kullu,Patiala,6200.00,20000.00,247.90,1363.45,13800.00,12436.55,12
Apples,Delicious,Baramulla,Patiala,4375.00,20000.00,585.39,3219.65,15625.00,12405.36,13
Apples,Delicious,Shopian,Patiala,5000.00,20000.00,504.46,2774.53,15000.00,12225.47,14
Apples,Delicious,Bijnor,Patiala,6520.00,20000.00,250.35,1376.93,13480.00,12103.08,15
Apples,Delicious,Meerut,Patiala,6950.00,20000.00,244.38,1344.09,13050.00,11705.91,16
Apples,Delicious,Delhi,Patiala,7000.00,20000.00,255.46,1405.03,13000.00,11594.97,17
Apples,Delicious,Kangra,Patiala,7250.00,20000.00,245.05,1347.78,12750.00,11402.23,18
Apples,Delicious,"Ropar (Rupnagar)",Patiala,8200.00,20000.00,89.15,490.33,11800.00,11309.68,19
Apples,Delicious,Ghaziabad,Patiala,7240.00,20000.00,264.60,1455.30,12760.00,11304.70,20
Apples,Delicious,Bulandshahar,Patiala,7000.00,20000.00,321.29,1767.10,13000.00,11232.91,21
Apples,Delicious,Shimla,Patiala,8000.00,20000.00,140.09,770.50,12000.00,11229.51,22
Apples,Delicious,Ujjain,Patiala,3383.00,20000.00,997.98,5488.89,16617.00,11128.11,23
Apples,Delicious,Hapur,Patiala,7500.00,20000.00,279.88,1539.34,12500.00,10960.66,24
Apples,Delicious,"Gautam Budh Nagar",Patiala,7500.00,20000.00,306.84,1687.62,12500.00,10812.38,25
Apples,Delicious,Muktsar,Patiala,8000.00,20000.00,224.90,1236.95,12000.00,10763.05,26
Apples,Delicious,Nanital,Patiala,7100.00,20000.00,391.75,2154.63,12900.00,10745.38,27
Apples,Delicious,Rampur,Patiala,7300.00,20000.00,385.85,2122.18,12700.00,10577.83,28
Apples,Delicious,Aligarh,Patiala,7250.00,20000.00,396.95,2183.23,12750.00,10566.78,29
Apples,Delicious,Jammu,Patiala,7500.00,20000.00,373.64,2055.02,12500.00,10444.98,30
Apples,Delicious,Rajouri,Patiala,7000.00,20000.00,467.20,2569.60,13000.00,10430.40,31
Apples,Delicious,Sambhal,Patiala,7640.00,20000.00,359.78,1978.79,12360.00,10381.21,32
Apples,Delicious,"Sant Kabir Nagar",Patiala,4500.00,20000.00,947.61,5211.86,15500.00,10288.15,33
Apples,Delicious,Bareilly,Patiala,7220.00,20000.00,459.61,2527.86,12780.00,10252.15,34
Apples,Delicious,Mathura,Patiala,7500.00,20000.00,425.64,2341.02,12500.00,10158.98,35
Apples,Delicious,Badaun,Patiala,7420.00,20000.00,451.41,2482.76,12580.00,10097.25,36
Apples,Delicious,Kathua,Patiala,8250.00,20000.00,303.06,1666.83,11750.00,10083.17,37
Apples,Delicious,Firozabad,Patiala,7200.00,20000.00,505.94,2782.67,12800.00,10017.33,38
Apples,Delicious,Pillibhit,Patiala,7490.00,20000.00,476.11,2618.61,12510.00,9891.40,39
Apples,Delicious,Shravasti,Patiala,5930.00,20000.00,762.10,4191.55,14070.00,9878.45,40
Apples,Delicious,Udhampur,Patiala,8000.00,20000.00,388.36,2135.98,12000.00,9864.02,41
Apples,Delicious,Agra,Patiala,7565.00,20000.00,479.75,2638.63,12435.00,9796.38,42
Apples,Delicious,Mainpuri,Patiala,7350.00,20000.00,538.74,2963.07,12650.00,9686.93,43
Apples,Delicious,Hathras,Patiala,7950.00,20000.00,431.01,2370.56,12050.00,9679.45,44
Apples,Delicious,Shahjahanpur,Patiala,7400.00,20000.00,550.05,3025.28,12600.00,9574.73,45
Apples,Delicious,Hoshiarpur,Patiala,9500.00,20000.00,176.34,969.87,10500.00,9530.13,46
Apples,Delicious,Farukhabad,Patiala,7450.00,20000.00,564.65,3105.58,12550.00,9444.43,47
Apples,Delicious,Etawah,Patiala,7400.00,20000.00,589.80,3243.90,12600.00,9356.10,48
Apples,Delicious,Kannuj,Patiala,7360.00,20000.00,629.94,3464.67,12640.00,9175.33,49
Apples,Delicious,Jhansi,Patiala,6870.00,20000.00,730.48,4017.64,13130.00,9112.36,50
Apples,Golden,Kulgam,Kangra,2200.00,12000.00,260.20,1431.10,9800.00,8368.90,1
Apples,Golden,Anantnag,Kangra,2333.33,12000.00,261.54,1438.47,9666.67,8228.20,2
Apples,Golden,Baramulla,Kangra,2400.00,12000.00,365.06,2007.83,9600.00,7592.17,3
Apples,Golden,Shimla,Kangra,3500.00,12000.00,174.41,959.26,8500.00,7540.75,4
Apples,Golden,Kullu,Kangra,4100.00,12000.00,136.06,748.33,7900.00,7151.67,5
Apples,Golden,Jammu,Kangra,4000.00,12000.00,183.20,1007.60,8000.00,6992.40,6
Apples,Golden,Badgam,Kangra,3281.25,12000.00,323.20,1777.60,8718.75,6941.15,7
Apples,Golden,Shimla,Ambala,3500.00,11000.00,111.49,613.20,7500.00,6886.81,8
Apples,Golden,Srinagar,Kangra,3450.00,12000.00,324.09,1782.50,8550.00,6767.51,9
Apples,Golden,Kulgam,Ambala,2200.00,11000.00,503.10,2767.05,8800.00,6032.95,10
Apples,Golden,Faridkot,Kangra,4500.00,12000.00,267.84,1473.12,7500.00,6026.88,11
Apples,Golden,Anantnag,Ambala,2333.33,11000.00,507.13,2789.22,8666.67,5877.46,12
Apples,Golden,Pulwama,Kangra,4687.50,12000.00,293.31,1613.21,7312.50,5699.30,13
Apples,Golden,Kullu,Ambala,4100.00,11000.00,225.64,1241.02,6900.00,5658.98,14
Apples,Golden,Panchkula,Kangra,5250.00,12000.00,206.80,1137.40,6750.00,5612.60,15
Apples,Golden,Panchkula,Ambala,5250.00,11000.00,47.80,262.90,5750.00,5487.10,16
Apples,Golden,Ferozpur,Kangra,4700.00,12000.00,355.90,1957.45,7300.00,5342.55,17
Apples,Golden,Baramulla,Ambala,2400.00,11000.00,604.05,3322.28,8600.00,5277.73,18
Apples,Golden,Faridkot,Ambala,4500.00,11000.00,246.64,1356.52,6500.00,5143.48,19
Apples,Golden,Jammu,Ambala,4000.00,11000.00,396.88,2182.84,7000.00,4817.16,20
Apples,Golden,Badgam,Ambala,3281.25,11000.00,565.94,3112.67,7718.75,4606.08,21
Apples,Golden,Ferozpur,Ambala,4700.00,11000.00,332.19,1827.05,6300.00,4472.96,22
Apples,Golden,Srinagar,Ambala,3450.00,11000.00,567.99,3123.95,7550.00,4426.06,23
Apples,Golden,Delhi,Ambala,5750.00,11000.00,243.05,1336.78,5250.00,3913.23,24
Apples,Golden,Delhi,Kangra,5750.00,12000.00,492.86,2710.73,6250.00,3539.27,25
Apples,Golden,Pulwama,Ambala,4687.50,11000.00,536.66,2951.63,6312.50,3360.87,26
Apples,Golden,Shimla,Dehradoon,3500.00,7500.00,150.21,826.16,4000.00,3173.85,27
Apples,Golden,Shimla,Sonipat,3500.00,8000.00,292.38,1608.09,4500.00,2891.91,28
Apples,Golden,Dehradoon,Kangra,7500.00,12000.00,324.00,1782.00,4500.00,2718.00,29
Apples,Golden,Dehradoon,Ambala,7500.00,11000.00,147.65,812.08,3500.00,2687.93,30
Apples,Golden,Kulgam,Pulwama,2200.00,4687.50,33.58,184.69,2487.50,2302.81,31
Apples,Golden,Anantnag,Pulwama,2333.33,4687.50,34.83,191.57,2354.17,2162.61,32
Apples,Golden,Kullu,Dehradoon,4100.00,7500.00,232.05,1276.28,3400.00,2123.73,33
Apples,Golden,Kulgam,Dehradoon,2200.00,7500.00,583.15,3207.33,5300.00,2092.68,34
Apples,Golden,Kulgam,Sonipat,2200.00,8000.00,688.51,3786.81,5800.00,2013.20,35
Apples,Golden,Anantnag,Dehradoon,2333.33,7500.00,582.88,3205.84,5166.67,1960.83,36
Apples,Golden,Delhi,Sonipat,5750.00,8000.00,54.40,299.20,2250.00,1950.80,37
Apples,Golden,Sonipat,Ambala,8000.00,11000.00,190.89,1049.90,3000.00,1950.11,38
Apples,Golden,Baramulla,Pulwama,2400.00,4687.50,75.54,415.47,2287.50,1872.03,39
Apples,Golden,Anantnag,Sonipat,2333.33,8000.00,693.85,3816.18,5666.67,1850.50,40
Apples,Golden,Kullu,Sonipat,4100.00,8000.00,405.65,2231.08,3900.00,1668.93,41
Apples,Golden,Sonipat,Kangra,8000.00,12000.00,440.13,2420.72,4000.00,1579.29,42
Apples,Golden,Faridkot,Sonipat,4500.00,8000.00,356.13,1958.72,3500.00,1541.29,43
Apples,Golden,Panchkula,Sonipat,5250.00,8000.00,237.08,1303.94,2750.00,1446.06,44
Apples,Golden,Panchkula,Dehradoon,5250.00,7500.00,149.73,823.52,2250.00,1426.49,45
Apples,Golden,Shimla,Panchkula,3500.00,5250.00,66.11,363.61,1750.00,1386.40,46
Apples,Golden,Baramulla,Dehradoon,2400.00,7500.00,688.66,3787.63,5100.00,1312.37,47
Apples,Golden,Baramulla,Sonipat,2400.00,8000.00,786.55,4326.03,5600.00,1273.98,48
Apples,Golden,Badgam,Pulwama,3281.25,4687.50,29.98,164.89,1406.25,1241.36,49
Apples,Golden,Kulgam,Jammu,2200.00,4000.00,133.05,731.78,1800.00,1068.23,50
Apples,Hajratbali,Pulwama,Udhampur,2700.00,3550.00,134.71,740.91,850.00,109.10,1
Apples,Hajratbali,Anantnag,Udhampur,2900.00,3550.00,112.61,619.36,650.00,30.65,2
Apples,Hajratbali,Pulwama,Anantnag,2700.00,2900.00,34.83,191.57,200.00,8.44,3
Apples,Hazratbali/Benoni,Srinagar,Ganderbal,2812.50,3125.00,19.76,108.68,312.50,203.82,1
Apples,"Kasmir/Shimla - II",Meerut,Sangrur,2550.00,18000.00,285.01,1567.56,15450.00,13882.45,1
Apples,"Kasmir/Shimla - II",Moga,Sangrur,4000.00,18000.00,111.05,610.78,14000.00,13389.23,2
Apples,"Kasmir/Shimla - II","Garhwal (Pauri)",Sangrur,3300.00,18000.00,353.06,1941.83,14700.00,12758.17,3
Apples,"Kasmir/Shimla - II",Amroha,Sangrur,3500.00,18000.00,371.64,2044.02,14500.00,12455.98,4
Apples,"Kasmir/Shimla - II",Mewat,Sangrur,3800.00,18000.00,347.30,1910.15,14200.00,12289.85,5
Apples,"Kasmir/Shimla - II",Hoshiarpur,Sangrur,5500.00,18000.00,179.55,987.53,12500.00,11512.48,6
Apples,"Kasmir/Shimla - II",Patiala,Sangrur,6250.00,18000.00,68.36,375.98,11750.00,11374.02,7
Apples,"Kasmir/Shimla - II",Gurdaspur,Sangrur,5500.00,18000.00,254.00,1397.00,12500.00,11103.00,8
Apples,"Kasmir/Shimla - II",Baghpat,Sangrur,5900.00,18000.00,246.71,1356.91,12100.00,10743.10,9
Apples,"Kasmir/Shimla - II",UdhamSinghNagar,Sangrur,4900.00,18000.00,471.88,2595.34,13100.00,10504.66,10
Apples,"Kasmir/Shimla - II",Saharanpur,Sangrur,6500.00,18000.00,210.44,1157.42,11500.00,10342.58,11
Apples,"Kasmir/Shimla - II",Shamli,Sangrur,6600.00,18000.00,212.00,1166.00,11400.00,10234.00,12
Apples,"Kasmir/Shimla - II",Baramulla,Sangrur,5000.00,18000.00,573.89,3156.40,13000.00,9843.61,13
Apples,"Kasmir/Shimla - II",Muzaffarnagar,Sangrur,6930.00,18000.00,251.21,1381.66,11070.00,9688.35,14
Apples,"Kasmir/Shimla - II",Moga,Bhatinda,4000.00,14000.00,89.53,492.42,10000.00,9507.59,15
Apples,"Kasmir/Shimla - II",Meerut,Bhatinda,2550.00,14000.00,373.53,2054.42,11450.00,9395.59,16
Apples,"Kasmir/Shimla - II",Ghaziabad,Sangrur,7000.00,18000.00,293.58,1614.69,11000.00,9385.31,17
Apples,"Kasmir/Shimla - II",Dehradoon,Sangrur,7200.00,18000.00,264.23,1453.27,10800.00,9346.74,18
Apples,"Kasmir/Shimla - II","Gautam Budh Nagar",Sangrur,7050.00,18000.00,332.36,1827.98,10950.00,9122.02,19
Apples,"Kasmir/Shimla - II","Ropar (Rupnagar)",Sangrur,8500.00,18000.00,130.49,717.70,9500.00,8782.31,20
Apples,"Kasmir/Shimla - II",Sonipat,Sangrur,8000.00,18000.00,225.51,1240.31,10000.00,8759.70,21
Apples,"Kasmir/Shimla - II",Hapur,Sangrur,7500.00,18000.00,316.69,1741.80,10500.00,8758.21,22
Apples,"Kasmir/Shimla - II",Malappuram,Mysuru,6550.00,16000.00,192.83,1060.57,9450.00,8389.44,23
Apples,"Kasmir/Shimla - II",Aligarh,Sangrur,7300.00,18000.00,426.18,2343.99,10700.00,8356.01,24
Apples,"Kasmir/Shimla - II",Mathura,Sangrur,7217.50,18000.00,444.19,2443.05,10782.50,8339.46,25
Apples,"Kasmir/Shimla - II","Garhwal (Pauri)",Bhatinda,3300.00,14000.00,460.00,2530.00,10700.00,8170.00,26
Apples,"Kasmir/Shimla - II",Agra,Sangrur,7100.00,18000.00,500.83,2754.57,10900.00,8145.44,27
Apples,"Kasmir/Shimla - II",Etawah,Sangrur,6450.00,18000.00,619.94,3409.67,11550.00,8140.33,28
Apples,"Kasmir/Shimla - II",Mewat,Bhatinda,3800.00,14000.00,401.08,2205.94,10200.00,7994.06,29
Apples,"Kasmir/Shimla - II",Una,Sangrur,9000.00,18000.00,190.34,1046.87,9000.00,7953.13,30
Apples,"Kasmir/Shimla - II",Amroha,Bhatinda,3500.00,14000.00,465.13,2558.22,10500.00,7941.79,31
Apples,"Kasmir/Shimla - II",Sirmore,Sangrur,9000.00,18000.00,196.68,1081.74,9000.00,7918.26,32
Apples,"Kasmir/Shimla - II",Mysore,Mysuru,8075.00,16000.00,1.36,7.48,7925.00,7917.52,33
Apples,"Kasmir/Shimla - II",Meerut,Kangra,2550.00,13000.00,463.63,2549.97,10450.00,7900.04,34
Apples,"Kasmir/Shimla - II",Kasganj,Sangrur,7500.00,18000.00,482.11,2651.61,10500.00,7848.40,35
Apples,"Kasmir/Shimla - II",Moga,Kangra,4000.00,13000.00,219.89,1209.40,9000.00,7790.61,36
Apples,"Kasmir/Shimla - II",Etah,Sangrur,7550.00,18000.00,506.40,2785.20,10450.00,7664.80,37
